,0,1,2,3,4,5,6,7,8,9,10
13077,UHT-milk,tropical fruit,,,,,,,,,
13078,pip fruit,other vegetables,,,,,,,,,
13079,root vegetables,berries,brandy,,,,,,,,
13080,soft cheese,cat food,,,,,,,,,
13081,curd,yogurt,misc. beverages,pickled vegetables,,,,,,,
13082,rolls/buns,cling film/bags,,,,,,,,,
13083,whole milk,flour,,,,,,,,,
13084,brown bread,processed cheese,,,,,,,,,
13085,chicken,dessert,,,,,,,,,
13086,butter milk,berries,,,,,,,,,
13087,other vegetables,tropical fruit,pork,soda,,,,,,,
13088,other vegetables,bottled water,shopping bags,,,,,,,,
13089,pip fruit,sugar,frozen vegetables,,,,,,,,
13090,hamburger meat,rolls/buns,,,,,,,,,
13091,whole milk,shopping bags,,,,,,,,,
13092,root vegetables,soda,,,,,,,,,
13093,yogurt,whole milk,,,,,,,,,
13094,rolls/buns,pip fruit,,,,,,,,,
13095,whole milk,bottled water,,,,,,,,,
13096,pastry,coffee,,,,,,,,,
13097,tropical fruit,whipped/sour cream,specialty chocolate,,,,,,,,
13098,misc. beverages,other vegetables,rolls/buns,brown bread,,,,,,,
13099,seasonal products,soups,,,,,,,,,
13100,onions,soda,,,,,,,,,
13101,sausage,bottled beer,hygiene articles,,,,,,,,
13102,root vegetables,citrus fruit,soda,,,,,,,,
13103,tropical fruit,other vegetables,,,,,,,,,
13104,other vegetables,berries,,,,,,,,,
13105,sweet spreads,soda,,,,,,,,,
13106,onions,root vegetables,domestic eggs,chocolate,,,,,,,
13107,tropical fruit,dishes,other vegetables,,,,,,,,
13108,pork,bottled water,,,,,,,,,
13109,citrus fruit,pastry,candy,softener,,,,,,,
13110,tropical fruit,citrus fruit,,,,,,,,,
13111,newspapers,whole milk,waffles,,,,,,,,
13112,whole milk,rolls/buns,,,,,,,,,
13113,rolls/buns,pip fruit,,,,,,,,,
13114,tropical fruit,white bread,,,,,,,,,
13115,soda,candy,,,,,,,,,
13116,frankfurter,root vegetables,,,,,,,,,
13117,meat,liquor,male cosmetics,fruit/vegetable juice,,,,,,,
13118,frozen meals,rolls/buns,chocolate,shopping bags,,,,,,,
13119,pork,whole milk,,,,,,,,,
13120,sausage,bottled water,,,,,,,,,
13121,sliced cheese,soda,,,,,,,,,
13122,tropical fruit,berries,beef,butter milk,yogurt,sliced cheese,,,,,
13123,whole milk,cream cheese ,,,,,,,,,
13124,other vegetables,butter,,,,,,,,,
13125,sausage,rolls/buns,,,,,,,,,
13126,citrus fruit,hard cheese,,,,,,,,,
13127,whole milk,sliced cheese,shopping bags,,,,,,,,
13128,bottled beer,ice cream,pastry,red/blush wine,,,,,,,
13129,tropical fruit,specialty chocolate,,,,,,,,,
13130,pork,cream cheese ,UHT-milk,,,,,,,,
13131,soda,rice,,,,,,,,,
13132,beef,pork,,,,,,,,,
13133,pip fruit,seasonal products,chocolate,,,,,,,,
13134,tropical fruit,white bread,,,,,,,,,
13135,root vegetables,soda,hygiene articles,,,,,,,,
13136,frankfurter,butter,red/blush wine,,,,,,,,
13137,other vegetables,newspapers,,,,,,,,,
13138,bottled water,beef,,,,,,,,,
13139,dessert,soft cheese,shopping bags,,,,,,,,
13140,frozen fruits,dishes,,,,,,,,,
13141,other vegetables,red/blush wine,,,,,,,,,
13142,yogurt,tropical fruit,,,,,,,,,
13143,other vegetables,soda,,,,,,,,,
13144,root vegetables,sugar,bottled water,white bread,,,,,,,
13145,frankfurter,curd,,,,,,,,,
13146,soda,canned beer,other vegetables,whole milk,,,,,,,
13147,other vegetables,yogurt,yogurt,,,,,,,,
13148,whole milk,beef,,,,,,,,,
13149,yogurt,sausage,yogurt,pip fruit,curd,,,,,,
13150,root vegetables,candy,,,,,,,,,
13151,bottled water,coffee,,,,,,,,,
13152,other vegetables,yogurt,,,,,,,,,
13153,yogurt,rice,butter,,,,,,,,
13154,sausage,frozen vegetables,,,,,,,,,
13155,napkins,beef,brown bread,,,,,,,,
13156,mustard,brown bread,,,,,,,,,
13157,pastry,bottled water,,,,,,,,,
13158,whole milk,margarine,,,,,,,,,
13159,frozen potato products,chewing gum,,,,,,,,,
13160,canned beer,other vegetables,,,,,,,,,
13161,other vegetables,soda,,,,,,,,,
13162,canned beer,soda,candles,pickled vegetables,,,,,,,
13163,specialty chocolate,domestic eggs,,,,,,,,,
13164,newspapers,canned beer,,,,,,,,,
13165,ham,red/blush wine,,,,,,,,,
13166,grapes,zwieback,,,,,,,,,
13167,frankfurter,brown bread,,,,,,,,,
13168,frankfurter,butter,,,,,,,,,
13169,other vegetables,red/blush wine,curd,,,,,,,,
13170,spread cheese,specialty bar,,,,,,,,,
13171,whole milk,ice cream,soda,yogurt,spices,,,,,,
13172,citrus fruit,pastry,,,,,,,,,
13173,grapes,butter,,,,,,,,,
13174,whole milk,coffee,fruit/vegetable juice,,,,,,,,
13175,whole milk,ice cream,,,,,,,,,
13176,sliced cheese,root vegetables,whipped/sour cream,,,,,,,,
13177,beef,waffles,,,,,,,,,
13178,citrus fruit,bottled beer,cat food,,,,,,,,
13179,whole milk,bottled beer,,,,,,,,,
13180,other vegetables,hygiene articles,,,,,,,,,
13181,whole milk,whole milk,citrus fruit,light bulbs,,,,,,,
13182,liqueur,whole milk,,,,,,,,,
13183,hamburger meat,margarine,,,,,,,,,
13184,sugar,shopping bags,,,,,,,,,
13185,ice cream,sliced cheese,,,,,,,,,
13186,soda,soda,,,,,,,,,
13187,UHT-milk,other vegetables,cake bar,,,,,,,,
13188,other vegetables,whipped/sour cream,,,,,,,,,
13189,citrus fruit,canned beer,,,,,,,,,
13190,frankfurter,yogurt,,,,,,,,,
13191,frankfurter,rolls/buns,rolls/buns,,,,,,,,
13192,brown bread,curd,,,,,,,,,
13193,frankfurter,domestic eggs,,,,,,,,,
13194,newspapers,brown bread,,,,,,,,,
13195,citrus fruit,rolls/buns,frozen vegetables,,,,,,,,
13196,soda,tropical fruit,,,,,,,,,
13197,cookware,spread cheese,,,,,,,,,
13198,whole milk,yogurt,,,,,,,,,
13199,beef,other vegetables,,,,,,,,,
13200,whole milk,tropical fruit,soda,newspapers,,,,,,,
13201,flower soil/fertilizer,tropical fruit,,,,,,,,,
13202,tropical fruit,other vegetables,,,,,,,,,
13203,margarine,fruit/vegetable juice,,,,,,,,,
13204,domestic eggs,domestic eggs,,,,,,,,,
13205,pastry,frozen dessert,,,,,,,,,
13206,beverages,cat food,soda,,,,,,,,
13207,chocolate marshmallow,flour,,,,,,,,,
13208,frankfurter,shopping bags,,,,,,,,,
13209,pork,meat,,,,,,,,,
13210,canned beer,brown bread,herbs,pastry,,,,,,,
13211,bottled water,onions,,,,,,,,,
13212,pip fruit,fruit/vegetable juice,,,,,,,,,
13213,packaged fruit/vegetables,other vegetables,,,,,,,,,
13214,hygiene articles,chicken,,,,,,,,,
13215,curd,cereals,,,,,,,,,
13216,root vegetables,candy,,,,,,,,,
13217,frozen fruits,citrus fruit,,,,,,,,,
13218,tropical fruit,other vegetables,,,,,,,,,
13219,soda,pastry,,,,,,,,,
13220,whole milk,whole milk,,,,,,,,,
13221,yogurt,soda,yogurt,,,,,,,,
13222,pastry,rolls/buns,,,,,,,,,
13223,citrus fruit,root vegetables,,,,,,,,,
13224,citrus fruit,cream cheese ,bottled beer,citrus fruit,,,,,,,
13225,tropical fruit,pip fruit,,,,,,,,,
13226,hamburger meat,dessert,sliced cheese,,,,,,,,
13227,ham,brown bread,,,,,,,,,
13228,dessert,rolls/buns,,,,,,,,,
13229,sausage,grapes,,,,,,,,,
13230,pork,salty snack,sliced cheese,,,,,,,,
13231,bottled beer,rolls/buns,,,,,,,,,
13232,other vegetables,whipped/sour cream,,,,,,,,,
13233,coffee,dishes,,,,,,,,,
13234,soda,fruit/vegetable juice,,,,,,,,,
13235,other vegetables,hard cheese,,,,,,,,,
13236,sausage,liquor (appetizer),,,,,,,,,
13237,white wine,brown bread,,,,,,,,,
13238,frankfurter,other vegetables,fruit/vegetable juice,,,,,,,,
13239,whole milk,spread cheese,bottled water,onions,,,,,,,
13240,beef,kitchen towels,fruit/vegetable juice,,,,,,,,
13241,frozen vegetables,coffee,,,,,,,,,
13242,butter,cleaner,red/blush wine,,,,,,,,
13243,frankfurter,beverages,,,,,,,,,
13244,yogurt,mustard,,,,,,,,,
13245,root vegetables,whole milk,napkins,,,,,,,,
13246,margarine,cream cheese ,,,,,,,,,
13247,rolls/buns,semi-finished bread,,,,,,,,,
13248,coffee,hygiene articles,yogurt,,,,,,,,
13249,other vegetables,soap,,,,,,,,,
13250,margarine,sweet spreads,,,,,,,,,
13251,whipped/sour cream,coffee,,,,,,,,,
13252,curd,long life bakery product,,,,,,,,,
13253,pastry,hard cheese,,,,,,,,,
13254,rolls/buns,long life bakery product,,,,,,,,,
13255,bottled water,sugar,candy,,,,,,,,
13256,coffee,pot plants,,,,,,,,,
13257,canned beer,cake bar,,,,,,,,,
13258,soda,root vegetables,,,,,,,,,
13259,sugar,whole milk,ketchup,,,,,,,,
13260,oil,margarine,,,,,,,,,
13261,other vegetables,pickled vegetables,,,,,,,,,
13262,chicken,tropical fruit,waffles,whipped/sour cream,brown bread,,,,,,
13263,beef,pip fruit,,,,,,,,,
13264,napkins,newspapers,,,,,,,,,
13265,chewing gum,whole milk,white bread,whole milk,dishes,,,,,,
13266,UHT-milk,other vegetables,,,,,,,,,
13267,sliced cheese,napkins,,,,,,,,,
13268,herbs,onions,brown bread,,,,,,,,
13269,pork,yogurt,,,,,,,,,
13270,whole milk,cream cheese ,,,,,,,,,
13271,herbs,root vegetables,,,,,,,,,
13272,sausage,specialty bar,,,,,,,,,
13273,chicken,long life bakery product,,,,,,,,,
13274,sausage,yogurt,,,,,,,,,
13275,detergent,other vegetables,detergent,,,,,,,,
13276,canned beer,rolls/buns,other vegetables,dog food,,,,,,,
13277,canned beer,chicken,other vegetables,,,,,,,,
13278,root vegetables,newspapers,,,,,,,,,
13279,mayonnaise,pastry,,,,,,,,,
13280,chicken,artif. sweetener,,,,,,,,,
13281,pork,soda,yogurt,,,,,,,,
13282,other vegetables,domestic eggs,bottled beer,,,,,,,,
13283,whole milk,root vegetables,,,,,,,,,
13284,other vegetables,pot plants,yogurt,salty snack,,,,,,,
13285,curd,coffee,baking powder,,,,,,,,
13286,white bread,margarine,,,,,,,,,
13287,whole milk,napkins,,,,,,,,,
13288,tropical fruit,citrus fruit,male cosmetics,,,,,,,,
13289,whole milk,root vegetables,,,,,,,,,
13290,chocolate,brown bread,,,,,,,,,
13291,specialty chocolate,pip fruit,,,,,,,,,
13292,citrus fruit,whole milk,yogurt,canned beer,,,,,,,
13293,tropical fruit,pip fruit,whole milk,other vegetables,,,,,,,
13294,citrus fruit,soda,,,,,,,,,
13295,ham,other vegetables,,,,,,,,,
13296,yogurt,whipped/sour cream,,,,,,,,,
13297,hard cheese,butter milk,long life bakery product,,,,,,,,
13298,pip fruit,canned beer,,,,,,,,,
13299,napkins,coffee,,,,,,,,,
13300,tropical fruit,soda,,,,,,,,,
13301,rum,yogurt,,,,,,,,,
13302,turkey,packaged fruit/vegetables,,,,,,,,,
13303,other vegetables,UHT-milk,,,,,,,,,
13304,pork,dental care,,,,,,,,,
13305,whipped/sour cream,tropical fruit,,,,,,,,,
13306,rolls/buns,frozen vegetables,frozen vegetables,,,,,,,,
13307,whole milk,hard cheese,,,,,,,,,
13308,ice cream,whole milk,,,,,,,,,
13309,canned beer,yogurt,coffee,,,,,,,,
13310,bottled beer,other vegetables,,,,,,,,,
13311,frankfurter,waffles,,,,,,,,,
13312,pastry,berries,,,,,,,,,
13313,rolls/buns,oil,fruit/vegetable juice,,,,,,,,
13314,tropical fruit,grapes,,,,,,,,,
13315,whole milk,UHT-milk,,,,,,,,,
13316,female sanitary products,soda,,,,,,,,,
13317,newspapers,rolls/buns,,,,,,,,,
13318,frozen fish,baking powder,,,,,,,,,
13319,root vegetables,margarine,,,,,,,,,
13320,grapes,sparkling wine,canned beer,pastry,,,,,,,
13321,pork,whole milk,,,,,,,,,
13322,pip fruit,other vegetables,,,,,,,,,
13323,shopping bags,whipped/sour cream,,,,,,,,,
13324,shopping bags,newspapers,,,,,,,,,
13325,hamburger meat,bottled beer,brown bread,yogurt,,,,,,,
13326,ice cream,curd,,,,,,,,,
13327,cat food,pip fruit,white bread,,,,,,,,
13328,rolls/buns,sausage,whole milk,nuts/prunes,,,,,,,
13329,canned beer,canned beer,,,,,,,,,
13330,white bread,hard cheese,,,,,,,,,
13331,tropical fruit,shopping bags,,,,,,,,,
13332,misc. beverages,red/blush wine,,,,,,,,,
13333,frankfurter,pastry,,,,,,,,,
13334,whipped/sour cream,pastry,napkins,,,,,,,,
13335,canned beer,butter,,,,,,,,,
13336,whipped/sour cream,red/blush wine,,,,,,,,,
13337,specialty chocolate,other vegetables,,,,,,,,,
13338,bottled water,coffee,,,,,,,,,
13339,hamburger meat,root vegetables,,,,,,,,,
13340,frankfurter,whole milk,,,,,,,,,
13341,tropical fruit,rolls/buns,,,,,,,,,
13342,hamburger meat,pastry,cereals,,,,,,,,
13343,other vegetables,abrasive cleaner,bottled beer,,,,,,,,
13344,sausage,sausage,pip fruit,sliced cheese,root vegetables,butter milk,,,,,
13345,canned beer,soda,other vegetables,canned vegetables,,,,,,,
13346,chicken,tropical fruit,,,,,,,,,
13347,UHT-milk,dessert,,,,,,,,,
13348,bottled water,newspapers,,,,,,,,,
13349,citrus fruit,napkins,,,,,,,,,
13350,cat food,roll products ,,,,,,,,,
13351,other vegetables,rolls/buns,,,,,,,,,
13352,UHT-milk,pip fruit,,,,,,,,,
13353,beverages,whole milk,butter milk,fruit/vegetable juice,,,,,,,
13354,sausage,whole milk,pastry,rolls/buns,coffee,bottled beer,chocolate,rolls/buns,,,
13355,soft cheese,sliced cheese,soda,,,,,,,,
13356,whole milk,pot plants,,,,,,,,,
13357,other vegetables,sliced cheese,,,,,,,,,
13358,pork,curd,,,,,,,,,
13359,frankfurter,packaged fruit/vegetables,,,,,,,,,
13360,frankfurter,whole milk,margarine,,,,,,,,
13361,sausage,rolls/buns,,,,,,,,,
13362,seasonal products,other vegetables,bottled water,,,,,,,,
13363,soft cheese,yogurt,pastry,instant coffee,,,,,,,
13364,mayonnaise,bottled beer,rolls/buns,specialty fat,,,,,,,
13365,frozen vegetables,pastry,,,,,,,,,
13366,bottled beer,whole milk,,,,,,,,,
13367,frankfurter,sausage,margarine,rolls/buns,bottled beer,mustard,,,,,
13368,rolls/buns,shopping bags,,,,,,,,,
13369,sausage,mustard,,,,,,,,,
13370,whole milk,whole milk,,,,,,,,,
13371,ice cream,other vegetables,,,,,,,,,
13372,dessert,napkins,,,,,,,,,
13373,root vegetables,UHT-milk,nuts/prunes,frankfurter,misc. beverages,whole milk,cream cheese ,canned fish,,,
13374,meat,grapes,,,,,,,,,
13375,canned beer,newspapers,,,,,,,,,
13376,frozen meals,soups,,,,,,,,,
13377,napkins,mayonnaise,,,,,,,,,
13378,domestic eggs,root vegetables,,,,,,,,,
13379,root vegetables,shopping bags,,,,,,,,,
13380,rolls/buns,yogurt,napkins,,,,,,,,
13381,white bread,pot plants,,,,,,,,,
13382,yogurt,root vegetables,,,,,,,,,
13383,whole milk,candles,yogurt,,,,,,,,
13384,whole milk,pastry,,,,,,,,,
13385,butter,waffles,,,,,,,,,
13386,pip fruit,frankfurter,whole milk,cream cheese ,,,,,,,
13387,other vegetables,misc. beverages,root vegetables,curd,dessert,,,,,,
13388,soft cheese,coffee,,,,,,,,,
13389,liquor (appetizer),onions,whole milk,butter,cream cheese ,specialty cheese,,,,,
13390,coffee,sliced cheese,,,,,,,,,
13391,tropical fruit,pork,soda,onions,,,,,,,
13392,specialty chocolate,other vegetables,,,,,,,,,
13393,bottled beer,cat food,,,,,,,,,
13394,pork,newspapers,root vegetables,,,,,,,,
13395,fruit/vegetable juice,other vegetables,,,,,,,,,
13396,tropical fruit,other vegetables,,,,,,,,,
13397,pip fruit,curd,canned beer,pork,bottled beer,frozen dessert,dessert,bottled water,,,
13398,other vegetables,bottled beer,,,,,,,,,
13399,citrus fruit,whole milk,,,,,,,,,
13400,beef,newspapers,,,,,,,,,
13401,beef,tropical fruit,,,,,,,,,
13402,chicken,yogurt,,,,,,,,,
13403,yogurt,pastry,,,,,,,,,
13404,shopping bags,domestic eggs,,,,,,,,,
13405,other vegetables,beef,tropical fruit,brown bread,cat food,,,,,,
13406,oil,whipped/sour cream,specialty cheese,soda,beverages,,,,,,
13407,sausage,pork,butter milk,canned beer,whole milk,yogurt,rolls/buns,,,,
13408,rolls/buns,red/blush wine,,,,,,,,,
13409,rolls/buns,specialty bar,,,,,,,,,
13410,whole milk,newspapers,bottled water,,,,,,,,
13411,salt,seasonal products,,,,,,,,,
13412,other vegetables,detergent,mayonnaise,dishes,,,,,,,
13413,ham,flour,whipped/sour cream,,,,,,,,
13414,bottled beer,tropical fruit,newspapers,whole milk,tropical fruit,soft cheese,hard cheese,white wine,,,
13415,rolls/buns,bottled beer,,,,,,,,,
13416,butter,coffee,pastry,bottled beer,,,,,,,
13417,pork,candy,yogurt,,,,,,,,
13418,tropical fruit,whole milk,,,,,,,,,
13419,sausage,white wine,whole milk,beverages,semi-finished bread,napkins,,,,,
13420,sausage,beverages,,,,,,,,,
13421,white bread,frozen vegetables,soda,,,,,,,,
13422,candy,soda,,,,,,,,,
13423,berries,sliced cheese,,,,,,,,,
13424,pastry,pip fruit,rolls/buns,yogurt,,,,,,,
13425,zwieback,onions,female sanitary products,,,,,,,,
13426,tropical fruit,other vegetables,,,,,,,,,
13427,herbs,newspapers,,,,,,,,,
13428,whole milk,chocolate,,,,,,,,,
13429,domestic eggs,hamburger meat,,,,,,,,,
13430,citrus fruit,pastry,newspapers,chewing gum,,,,,,,
13431,citrus fruit,pork,canned fish,oil,,,,,,,
13432,margarine,rolls/buns,,,,,,,,,
13433,other vegetables,pickled vegetables,hard cheese,,,,,,,,
13434,onions,whipped/sour cream,,,,,,,,,
13435,frankfurter,other vegetables,cream cheese ,,,,,,,,
13436,other vegetables,tropical fruit,,,,,,,,,
13437,whole milk,soda,tea,,,,,,,,
13438,onions,canned fish,,,,,,,,,
13439,chocolate,rolls/buns,,,,,,,,,
13440,whole milk,bottled beer,frozen vegetables,,,,,,,,
13441,whipped/sour cream,meat spreads,,,,,,,,,
13442,meat,pork,butter milk,cat food,,,,,,,
13443,white bread,salty snack,,,,,,,,,
13444,yogurt,frozen meals,,,,,,,,,
13445,soda,white wine,,,,,,,,,
13446,beverages,canned vegetables,,,,,,,,,
13447,hygiene articles,dessert,,,,,,,,,
13448,sausage,bottled water,,,,,,,,,
13449,hamburger meat,whole milk,,,,,,,,,
13450,ice cream,long life bakery product,,,,,,,,,
13451,finished products,whipped/sour cream,,,,,,,,,
13452,frankfurter,seasonal products,,,,,,,,,
13453,citrus fruit,pot plants,,,,,,,,,
13454,root vegetables,yogurt,pickled vegetables,,,,,,,,
13455,beverages,curd,,,,,,,,,
13456,curd,brown bread,,,,,,,,,
13457,cream cheese ,whole milk,root vegetables,frankfurter,other vegetables,whole milk,dish cleaner,mustard,hygiene articles,,
13458,frankfurter,other vegetables,,,,,,,,,
13459,pastry,chocolate,,,,,,,,,
13460,margarine,berries,,,,,,,,,
13461,beef,salty snack,whole milk,domestic eggs,fruit/vegetable juice,whipped/sour cream,cat food,,,,
13462,root vegetables,baking powder,,,,,,,,,
13463,sausage,root vegetables,,,,,,,,,
13464,pot plants,yogurt,cream cheese ,,,,,,,,
13465,other vegetables,specialty chocolate,,,,,,,,,
13466,long life bakery product,ketchup,,,,,,,,,
13467,pip fruit,salty snack,,,,,,,,,
13468,pork,rolls/buns,,,,,,,,,
13469,cat food,other vegetables,,,,,,,,,
13470,beef,frozen vegetables,coffee,,,,,,,,
13471,bathroom cleaner,popcorn,,,,,,,,,
13472,whole milk,newspapers,hygiene articles,,,,,,,,
13473,brown bread,cat food,,,,,,,,,
13474,pork,root vegetables,shopping bags,,,,,,,,
13475,specialty chocolate,soda,,,,,,,,,
13476,other vegetables,margarine,,,,,,,,,
13477,pork,butter,,,,,,,,,
13478,bottled water,yogurt,,,,,,,,,
13479,frankfurter,margarine,,,,,,,,,
13480,long life bakery product,candy,,,,,,,,,
13481,fruit/vegetable juice,salt,,,,,,,,,
13482,canned beer,rolls/buns,whole milk,grapes,,,,,,,
13483,pastry,bottled beer,fruit/vegetable juice,,,,,,,,
13484,whole milk,dishes,,,,,,,,,
13485,pastry,specialty bar,,,,,,,,,
13486,white wine,soda,,,,,,,,,
13487,ice cream,margarine,sliced cheese,pastry,,,,,,,
13488,cream cheese ,whole milk,candy,,,,,,,,
13489,frankfurter,ketchup,,,,,,,,,
13490,whole milk,hamburger meat,canned beer,fruit/vegetable juice,,,,,,,
13491,fruit/vegetable juice,frozen vegetables,chocolate,,,,,,,,
13492,beef,spices,,,,,,,,,
13493,whole milk,herbs,,,,,,,,,
13494,sliced cheese,candy,,,,,,,,,
13495,yogurt,dessert,,,,,,,,,
13496,pip fruit,hamburger meat,brown bread,cream cheese ,curd,,,,,,
13497,pip fruit,newspapers,chocolate,,,,,,,,
13498,other vegetables,cooking chocolate,,,,,,,,,
13499,cereals,whole milk,bottled water,,,,,,,,
13500,butter,bottled beer,,,,,,,,,
13501,sausage,other vegetables,,,,,,,,,
13502,packaged fruit/vegetables,pet care,,,,,,,,,
13503,long life bakery product,butter,rolls/buns,newspapers,,,,,,,
13504,fruit/vegetable juice,domestic eggs,,,,,,,,,
13505,pork,brown bread,fruit/vegetable juice,shopping bags,,,,,,,
13506,sausage,newspapers,,,,,,,,,
13507,salty snack,sugar,,,,,,,,,
13508,root vegetables,rolls/buns,,,,,,,,,
13509,pip fruit,butter,,,,,,,,,
13510,vinegar,whole milk,,,,,,,,,
13511,grapes,yogurt,frozen potato products,,,,,,,,
13512,whole milk,canned fish,,,,,,,,,
13513,pastry,Instant food products,,,,,,,,,
13514,whole milk,ice cream,,,,,,,,,
13515,root vegetables,hard cheese,pastry,,,,,,,,
13516,canned beer,hamburger meat,,,,,,,,,
13517,other vegetables,condensed milk,,,,,,,,,
13518,canned beer,semi-finished bread,,,,,,,,,
13519,newspapers,coffee,soft cheese,,,,,,,,
13520,yogurt,bottled water,berries,,,,,,,,
13521,whole milk,brandy,brown bread,,,,,,,,
13522,newspapers,fruit/vegetable juice,specialty chocolate,,,,,,,,
13523,cocoa drinks,sliced cheese,,,,,,,,,
13524,brown bread,other vegetables,,,,,,,,,
13525,other vegetables,pickled vegetables,,,,,,,,,
13526,frankfurter,sliced cheese,butter,,,,,,,,
13527,tropical fruit,UHT-milk,whole milk,,,,,,,,
13528,chicken,ice cream,,,,,,,,,
13529,root vegetables,shopping bags,,,,,,,,,
13530,berries,bottled beer,,,,,,,,,
13531,sausage,whole milk,other vegetables,semi-finished bread,yogurt,,,,,,
13532,chicken,salt,,,,,,,,,
13533,brown bread,whipped/sour cream,,,,,,,,,
13534,citrus fruit,bottled water,,,,,,,,,
13535,sliced cheese,shopping bags,,,,,,,,,
13536,chicken,cream cheese ,,,,,,,,,
13537,rolls/buns,salty snack,,,,,,,,,
13538,bottled water,frozen vegetables,,,,,,,,,
13539,newspapers,white bread,,,,,,,,,
13540,salty snack,shopping bags,,,,,,,,,
13541,cat food,shopping bags,,,,,,,,,
13542,brandy,whole milk,,,,,,,,,
13543,sugar,whipped/sour cream,,,,,,,,,
13544,frozen vegetables,yogurt,pot plants,,,,,,,,
13545,soda,vinegar,napkins,,,,,,,,
13546,coffee,softener,,,,,,,,,
13547,fruit/vegetable juice,other vegetables,,,,,,,,,
13548,tropical fruit,soda,margarine,napkins,,,,,,,
13549,pip fruit,whipped/sour cream,,,,,,,,,
13550,frankfurter,pork,sliced cheese,candy,pastry,shopping bags,,,,,
13551,white bread,whipped/sour cream,,,,,,,,,
13552,sausage,pasta,bottled water,,,,,,,,
13553,root vegetables,pastry,,,,,,,,,
13554,canned beer,potato products,,,,,,,,,
13555,meat,rolls/buns,root vegetables,,,,,,,,
13556,soft cheese,specialty chocolate,,,,,,,,,
13557,canned beer,curd,,,,,,,,,
13558,whole milk,napkins,napkins,,,,,,,,
13559,bottled water,coffee,curd,,,,,,,,
13560,zwieback,specialty chocolate,,,,,,,,,
13561,butter,butter milk,,,,,,,,,
13562,ham,UHT-milk,,,,,,,,,
13563,fish,soda,bottled beer,bottled beer,,,,,,,
13564,salty snack,citrus fruit,yogurt,berries,,,,,,,
13565,whipped/sour cream,shopping bags,,,,,,,,,
13566,sugar,pickled vegetables,fruit/vegetable juice,yogurt,,,,,,,
13567,canned vegetables,whole milk,,,,,,,,,
13568,citrus fruit,candy,,,,,,,,,
13569,grapes,canned fish,,,,,,,,,
13570,pip fruit,soda,,,,,,,,,
13571,turkey,rolls/buns,,,,,,,,,
13572,root vegetables,soda,,,,,,,,,
13573,pork,soda,,,,,,,,,
13574,onions,whole milk,,,,,,,,,
13575,frankfurter,canned beer,,,,,,,,,
13576,onions,specialty chocolate,,,,,,,,,
13577,bottled water,ham,brown bread,yogurt,,,,,,,
13578,tropical fruit,citrus fruit,bottled water,rolls/buns,soda,pickled vegetables,,,,,
13579,chicken,white bread,,,,,,,,,
13580,citrus fruit,oil,specialty chocolate,,,,,,,,
13581,pip fruit,hard cheese,,,,,,,,,
13582,ham,pork,pork,soda,,,,,,,
13583,baking powder,root vegetables,,,,,,,,,
13584,whole milk,bottled water,,,,,,,,,
13585,yogurt,margarine,,,,,,,,,
13586,butter,sugar,,,,,,,,,
13587,citrus fruit,whole milk,pastry,other vegetables,,,,,,,
13588,soda,salt,,,,,,,,,
13589,yogurt,sauces,specialty chocolate,,,,,,,,
13590,frankfurter,ham,tropical fruit,misc. beverages,tropical fruit,photo/film,specialty chocolate,frozen fish,,,
13591,chicken,butter milk,,,,,,,,,
13592,pastry,napkins,,,,,,,,,
13593,bottled water,meat spreads,,,,,,,,,
13594,herbs,rolls/buns,,,,,,,,,
13595,whole milk,pastry,liquor,,,,,,,,
13596,root vegetables,salty snack,,,,,,,,,
13597,nuts/prunes,margarine,,,,,,,,,
13598,root vegetables,shopping bags,,,,,,,,,
13599,whipped/sour cream,photo/film,,,,,,,,,
13600,butter milk,hygiene articles,,,,,,,,,
13601,rolls/buns,bottled water,bottled water,,,,,,,,
13602,domestic eggs,waffles,coffee,shopping bags,,,,,,,
13603,root vegetables,pip fruit,,,,,,,,,
13604,root vegetables,specialty chocolate,,,,,,,,,
13605,waffles,cereals,,,,,,,,,
13606,bottled water,whole milk,,,,,,,,,
13607,meat,pip fruit,,,,,,,,,
13608,ham,other vegetables,,,,,,,,,
13609,newspapers,domestic eggs,,,,,,,,,
13610,rolls/buns,shopping bags,,,,,,,,,
13611,other vegetables,bottled water,,,,,,,,,
13612,whole milk,cookware,brown bread,bottled beer,,,,,,,
13613,sausage,UHT-milk,,,,,,,,,
13614,tidbits,dessert,cat food,,,,,,,,
13615,ice cream,photo/film,flour,,,,,,,,
13616,other vegetables,coffee,,,,,,,,,
13617,misc. beverages,other vegetables,brown bread,,,,,,,,
13618,dog food,hygiene articles,Instant food products,,,,,,,,
13619,chewing gum,butter,,,,,,,,,
13620,white bread,soda,,,,,,,,,
13621,oil,waffles,,,,,,,,,
13622,yogurt,baking powder,,,,,,,,,
13623,other vegetables,brown bread,,,,,,,,,
13624,tropical fruit,hamburger meat,bottled beer,yogurt,,,,,,,
13625,domestic eggs,whole milk,fruit/vegetable juice,,,,,,,,
13626,organic sausage,soda,rolls/buns,,,,,,,,
13627,whole milk,shopping bags,,,,,,,,,
13628,whole milk,dishes,,,,,,,,,
13629,candy,specialty fat,,,,,,,,,
13630,UHT-milk,other vegetables,,,,,,,,,
13631,frankfurter,hamburger meat,,,,,,,,,
13632,other vegetables,bottled water,,,,,,,,,
